City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
553,Cody,US,87.91,44.5263,-109.0565,Buffalo Bill (Cabins) Village
563,Vicksburg,US,94.68,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
564,Puri,IN,86.38,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
570,Islahiye,TR,89.38,37.025,36.6306,İslahiye Sabanci Teachers
576,Alta Floresta,BR,93.02,-9.8756,-56.0861,Floresta Amazonica Hotel
577,Urucara,BR,95.32,-2.5364,-57.76,Pousada Maria Bonita
590,Sokoto,NG,87.84,13.0609,5.239,Shukura Coral Hotel
594,Sabla,NG,88.5,12.7525,4.7077,
597,Pahrump,US,94.95,36.2083,-115.9839,Best Western Pahrump Oasis
600,Tutoia,BR,91.38,-2.7619,-42.2744,Pousada Guará's
615,Galveston,US,94.19,29.3669,-94.9669,Comfort Inn & Suites Texas City
618,Tecoanapa,MX,86.45,16.5167,-98.75,Hotel Manglares
620,Ladario,BR,95.29,-19.0047,-57.6017,Hotel Fazenda 4 cantos
621,Simpsonville,US,90.45,34.7371,-82.2543,Hampton Inn Greenville/Simpsonville
631,Caiaponia,BR,86.5,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
634,Abu Samrah,SY,89.04,35.3029,37.1841,
635,Avera,US,90.72,33.194,-82.5271,
640,Ellensburg,US,90.25,46.9965,-120.5479,"Holiday Inn Express Ellensburg, an IHG Hotel"
645,Rawah,IQ,99.5,34.4816,41.9093,ديوان الشيخ نامق محسن الراوي
658,Jaleswar,NP,85.21,26.6471,85.8008,Sundar Mobile Repairing Centre
664,Carutapera,BR,87.06,-1.195,-46.02,Lidera
665,Caldwell,US,91.47,43.6629,-116.6874,La Quinta Inn by Wyndham Caldwell
