City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,Yulara,-25.2406,130.9889,57.04,41,0,8.05,AU,2021-07-21 18:37:11
166,Vila Velha,-20.3297,-40.2925,76.96,62,20,10.36,BR,2021-07-21 18:34:55
167,Xinxiang,35.3089,113.8672,71.51,98,100,8.57,CN,2021-07-21 18:37:11
168,Hualmay,-11.0964,-77.6139,68.65,69,21,10.85,PE,2021-07-21 18:37:11
169,Amapa,1.0,-52.0,86.14,60,9,4.54,BR,2021-07-21 18:37:12
170,Korla,41.7597,86.1469,85.14,22,100,8.34,CN,2021-07-21 18:37:12
171,Chokurdakh,70.6333,147.9167,43.45,74,68,7.05,RU,2021-07-21 18:37:12
172,Pisco,-13.7,-76.2167,64.45,77,40,8.05,PE,2021-07-21 18:35:13
173,Palamos,41.8484,3.1291,83.98,55,71,9.62,ES,2021-07-21 18:37:13
174,Clyde River,70.4692,-68.5914,39.43,87,75,8.05,CA,2021-07-21 18:37:13
175,Dryden,49.7833,-92.7503,68.29,37,90,13.8,CA,2021-07-21 18:37:13
176,Khandyga,62.6667,135.6,63.82,99,100,3.96,RU,2021-07-21 18:37:14
177,Necochea,-38.5473,-58.7368,63.03,54,100,10.16,AR,2021-07-21 18:37:14
178,Alyangula,-13.8483,136.4192,53.47,87,100,0.0,AU,2021-07-21 18:37:14
179,Mizdah,31.4451,12.9801,79.66,36,0,12.71,LY,2021-07-21 18:37:15
180,Esso,55.9333,158.7,56.66,69,100,4.03,RU,2021-07-21 18:37:15
181,Sangar,63.9242,127.4739,54.9,95,100,5.32,RU,2021-07-21 18:37:15
182,Douglas,41.3,-96.167,86.99,58,1,5.01,US,2021-07-21 18:37:16
183,Karad,17.2833,74.2,71.01,94,100,17.94,IN,2021-07-21 18:37:16
184,Monte Patria,-30.6919,-70.9467,78.04,17,42,5.1,CL,2021-07-21 18:35:53
185,Wajima,37.4,136.9,77.4,88,3,5.1,JP,2021-07-21 18:37:16
186,Lisala,2.15,21.5167,74.43,81,100,1.43,CD,2021-07-21 18:37:17
187,Taoudenni,22.6783,-3.9836,112.12,7,56,12.46,ML,2021-07-21 18:37:17
188,Berlevag,70.8578,29.0864,46.2,76,75,29.93,NO,2021-07-21 18:37:17
189,Bagdarin,54.4333,113.6,54.39,96,100,1.92,RU,2021-07-21 18:37:18
190,Matara,5.9485,80.5353,79.3,85,100,13.96,LK,2021-07-21 18:37:18
191,Magomeni,-6.8,39.25,76.93,83,75,4.61,TZ,2021-07-21 18:37:18
192,Kautokeino,69.0125,23.0412,45.0,79,100,13.4,NO,2021-07-21 18:37:19
193,Potosi,-19.5836,-65.7531,51.94,19,52,2.3,BO,2021-07-21 18:37:19
194,Alexandria,31.2156,29.9553,82.36,74,20,12.66,EG,2021-07-21 18:37:19
195,Vostok,46.4856,135.8833,65.88,95,9,3.42,RU,2021-07-21 18:37:20
196,Eureka,40.8021,-124.1637,69.21,76,14,7.0,US,2021-07-21 18:37:20
197,Guerrero Negro,27.9769,-114.0611,78.71,62,51,13.71,MX,2021-07-21 18:37:20
198,Twin Falls,42.3505,-114.6445,87.69,48,1,8.05,US,2021-07-21 18:37:20
199,Beringovskiy,63.05,179.3167,50.83,74,100,5.77,RU,2021-07-21 18:37:21
200,Kyzyl-Suu,42.3414,78.0056,62.56,60,100,5.19,KG,2021-07-21 18:37:21
201,Ishigaki,24.3448,124.1572,82.58,90,100,41.72,JP,2021-07-21 18:37:21
202,Zhaotong,27.3167,103.7167,61.43,92,100,1.83,CN,2021-07-21 18:37:22
203,Talnakh,69.4865,88.3972,55.08,54,100,5.93,RU,2021-07-21 18:37:22
204,Katherine,-14.4667,132.2667,53.92,62,26,4.61,AU,2021-07-21 18:35:20
205,Hirekerur,14.4667,75.3833,69.89,93,100,15.14,IN,2021-07-21 18:37:23
206,Lavrentiya,65.5833,-171.0,40.42,81,100,7.63,RU,2021-07-21 18:37:23
207,Saint-Francois,46.4154,3.9054,81.84,45,0,4.61,FR,2021-07-21 18:37:23
208,Tonantins,-2.8731,-67.8022,90.41,43,23,4.25,BR,2021-07-21 18:37:24
209,Suoyarvi,62.0833,32.35,54.12,48,96,5.32,RU,2021-07-21 18:37:24
210,Abha,18.2164,42.5053,64.22,94,75,11.5,SA,2021-07-21 18:37:24
211,Hay River,60.8156,-115.7999,71.58,60,40,8.05,CA,2021-07-21 18:37:25
212,Salym,60.0625,71.4789,68.47,68,100,8.39,RU,2021-07-21 18:37:25
213,Naifaru,5.4444,73.3657,83.08,76,100,17.36,MV,2021-07-21 18:37:25
214,Pavilosta,56.8879,21.1859,64.31,67,0,9.71,LV,2021-07-21 18:37:25
215,Los Llanos De Aridane,28.6585,-17.9182,71.35,88,20,19.57,ES,2021-07-21 18:37:26
216,San Jose,37.3394,-121.895,88.09,50,1,4.61,US,2021-07-21 18:33:41
217,Iquique,-20.2208,-70.1431,60.84,68,22,6.38,CL,2021-07-21 18:32:27
218,Vila,42.0304,-8.1588,76.75,62,48,4.05,PT,2021-07-21 18:37:26
219,Egvekinot,66.3167,-179.1667,41.49,82,99,8.43,RU,2021-07-21 18:37:27
220,Kunya,12.2233,8.5325,84.63,54,100,6.26,NG,2021-07-21 18:37:27
221,Sambava,-14.2667,50.1667,71.87,85,100,15.84,MG,2021-07-21 18:37:27
222,Fort Smith,35.3859,-94.3986,88.38,53,1,4.0,US,2021-07-21 18:37:10
223,Tilichiki,60.4667,166.1,55.69,74,30,2.37,RU,2021-07-21 18:37:28
224,Ouegoa,-20.35,164.4333,66.24,76,10,5.48,NC,2021-07-21 18:37:28
225,Kamenka,51.3223,42.7678,68.22,88,100,3.36,RU,2021-07-21 18:37:28
226,Purworejo,-6.7872,111.9224,78.19,80,83,7.05,ID,2021-07-21 18:37:29
227,Matane,48.8286,-67.522,62.02,92,100,3.27,CA,2021-07-21 18:33:46
228,Port Elizabeth,-33.918,25.5701,49.1,81,20,25.32,ZA,2021-07-21 18:36:55
229,Berbera,10.4396,45.0143,89.26,49,100,12.57,SO,2021-07-21 18:37:29
230,Oliveira Dos Brejinhos,-12.3169,-42.8961,88.52,23,14,10.29,BR,2021-07-21 18:37:30
231,Ilulissat,69.2167,-51.1,41.83,76,32,2.62,GL,2021-07-21 18:37:30
232,Vardo,70.3705,31.1107,48.4,76,75,11.5,NO,2021-07-21 18:37:30
233,Myre,69.1036,15.9492,49.91,89,100,16.82,NO,2021-07-21 18:37:31
234,Saint-Georges,12.0564,-61.7485,85.68,74,20,20.71,GD,2021-07-21 18:37:31
235,Caraballeda,10.6112,-66.8522,92.86,49,5,17.27,VE,2021-07-21 18:37:31
236,Rosita,13.9268,-84.4032,83.03,80,33,5.95,NI,2021-07-21 18:37:32
237,Salalah,17.0151,54.0924,78.89,94,75,6.91,OM,2021-07-21 18:37:33
